Product Name,Price (Ksh),Discount (%),Rating (out of 5),Total Reviews
N/A,"KSh 4,700",0%,0,0
N/A,KSh 437,0%,0,0
N/A,KSh 738,0%,0,0
N/A,KSh 990,0%,0,0
N/A,"KSh 1,083 - KSh 1,190",0%,0,0
N/A,KSh 590,0%,0,0
N/A,"KSh 24,605",0%,0,0
N/A,KSh 574,0%,0,0
N/A,KSh 299,0%,0,0
N/A,KSh 519,0%,0,0
N/A,"KSh 8,799",0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 8,799",0%,0,0
N/A,KSh 519,0%,0,0
N/A,KSh 499,0%,0,0
N/A,KSh 992,0%,0,0
N/A,KSh 899,0%,0,0
N/A,KSh 437,0%,0,0
N/A,KSh 780,0%,0,0
N/A,"KSh 2,000",0%,0,0
N/A,KSh 253,0%,0,0
N/A,KSh 896,0%,0,0
N/A,KSh 437,0%,0,0
N/A,KSh 784,0%,0,0
N/A,"KSh 1,199",0%,0,0
N/A,"KSh 1,700",0%,0,0
N/A,"KSh 1,650",0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,KSh 975,0%,0,0
N/A,"KSh 18,499",0%,0,0
N/A,KSh 960,0%,0,0
N/A,"KSh 2,960",0%,0,0
N/A,"KSh 3,400",0%,0,0
N/A,KSh 780,0%,0,0
N/A,"KSh 1,460",0%,0,0
N/A,"KSh 26,099",0%,0,0
N/A,"KSh 11,199",0%,0,0
N/A,"KSh 2,799",0%,0,0
N/A,"KSh 5,199",0%,0,0
N/A,"KSh 17,499",0%,0,0
N/A,"KSh 17,736",0%,0,0
N/A,"KSh 3,399",0%,0,0
N/A,"KSh 40,499",0%,0,0
N/A,"KSh 1,000",0%,0,0
N/A,KSh 599,0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 28,380",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,"KSh 20,499",0%,0,0
N/A,"KSh 13,599",0%,0,0
N/A,"KSh 31,999",0%,0,0
N/A,"KSh 13,580",0%,0,0
N/A,"KSh 13,740",0%,0,0
N/A,"KSh 9,500",0%,0,0
N/A,"KSh 13,599",0%,0,0
N/A,"KSh 12,140",0%,0,0
N/A,"KSh 12,599",0%,0,0
N/A,"KSh 6,590",0%,0,0
N/A,"KSh 8,799",0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 12,600",0%,0,0
N/A,"KSh 8,999",0%,0,0
N/A,"KSh 5,277",0%,0,0
N/A,"KSh 11,599",0%,0,0
N/A,"KSh 11,099",0%,0,0
N/A,"KSh 10,399",0%,0,0
N/A,"KSh 40,499",0%,0,0
N/A,"KSh 27,699",0%,0,0
N/A,"KSh 18,499",0%,0,0
N/A,"KSh 26,099",0%,0,0
N/A,"KSh 31,999",0%,0,0
N/A,"KSh 13,639",0%,0,0
N/A,"KSh 6,499",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,"KSh 33,160",0%,0,0
N/A,"KSh 9,799",0%,0,0
N/A,"KSh 46,299",0%,0,0
N/A,"KSh 11,599",0%,0,0
N/A,"KSh 19,199",0%,0,0
N/A,"KSh 16,000",0%,0,0
N/A,"KSh 43,499",0%,0,0
N/A,"KSh 5,520",0%,0,0
N/A,"KSh 6,399",0%,0,0
N/A,KSh 699,0%,0,0
N/A,KSh 869,0%,0,0
N/A,"KSh 1,815",0%,0,0
N/A,"KSh 17,799",0%,0,0
N/A,"KSh 22,000",0%,0,0
N/A,"KSh 33,999",0%,0,0
N/A,KSh 854,0%,0,0
N/A,"KSh 7,280",0%,0,0
N/A,"KSh 17,736",0%,0,0
N/A,"KSh 1,709",0%,0,0
N/A,KSh 407,0%,0,0
N/A,"KSh 3,399",0%,0,0
N/A,KSh 600,0%,0,0
N/A,"KSh 15,399",0%,0,0
N/A,"KSh 2,590",0%,0,0
N/A,KSh 407,0%,0,0
N/A,KSh 800,0%,0,0
N/A,"KSh 1,800",0%,0,0
N/A,KSh 960,0%,0,0
N/A,KSh 955,0%,0,0
N/A,KSh 454,0%,0,0
N/A,KSh 619,0%,0,0
N/A,KSh 365,0%,0,0
N/A,KSh 407,0%,0,0
N/A,KSh 281 - KSh 399,0%,0,0
N/A,"KSh 1,691",0%,0,0
N/A,KSh 572,0%,0,0
N/A,KSh 537,0%,0,0
N/A,"KSh 1,356 - KSh 1,490",0%,0,0
N/A,KSh 595 - KSh 850,0%,0,0
N/A,"KSh 999 - KSh 1,100",0%,0,0
N/A,KSh 630,0%,0,0
N/A,KSh 683 - KSh 750,0%,0,0
N/A,"KSh 1,399",0%,0,0
N/A,"KSh 6,427",0%,0,0
N/A,KSh 768,0%,0,0
N/A,KSh 514,0%,0,0
N/A,KSh 252,0%,0,0
N/A,KSh 199,0%,0,0
N/A,KSh 601,0%,0,0
N/A,KSh 700,0%,0,0
N/A,"KSh 1,539 - KSh 1,699",0%,0,0
N/A,"KSh 1,190",0%,0,0
N/A,"KSh 960 - KSh 1,049",0%,0,0
N/A,KSh 738,0%,0,0
N/A,"KSh 1,059 - KSh 1,260",0%,0,0
N/A,KSh 729 - KSh 979,0%,0,0
N/A,KSh 819,0%,0,0
N/A,KSh 229,0%,0,0
N/A,"KSh 1,200",0%,0,0
N/A,KSh 299,0%,0,0
N/A,KSh 550,0%,0,0
N/A,"KSh 2,239 - KSh 2,519",0%,0,0
N/A,"KSh 5,249 - KSh 5,879",0%,0,0
N/A,KSh 859,0%,0,0
N/A,KSh 819,0%,0,0
N/A,"KSh 1,095",0%,0,0
N/A,"KSh 1,033",0%,0,0
N/A,KSh 780,0%,0,0
N/A,"KSh 3,220",0%,0,0
N/A,"KSh 2,699",0%,0,0
N/A,KSh 990,0%,0,0
N/A,"KSh 1,800",0%,0,0
N/A,"KSh 1,095",0%,0,0
N/A,"KSh 2,600",0%,0,0
N/A,KSh 570,0%,0,0
N/A,"KSh 1,279",0%,0,0
N/A,"KSh 2,862",0%,0,0
N/A,KSh 942,0%,0,0
N/A,"KSh 2,950",0%,0,0
N/A,KSh 670,0%,0,0
N/A,"KSh 28,999",0%,0,0
N/A,"KSh 2,189",0%,0,0
N/A,"KSh 11,599",0%,0,0
N/A,"KSh 1,299",0%,0,0
N/A,KSh 750,0%,0,0
N/A,KSh 570,0%,0,0
N/A,KSh 460,0%,0,0
N/A,KSh 915,0%,0,0
N/A,"KSh 13,650",0%,0,0
N/A,"KSh 7,584",0%,0,0
N/A,KSh 519,0%,0,0
N/A,"KSh 11,199",0%,0,0
N/A,"KSh 18,499",0%,0,0
N/A,"KSh 26,099",0%,0,0
N/A,"KSh 5,199",0%,0,0
N/A,"KSh 9,799",0%,0,0
N/A,"KSh 1,390",0%,0,0
N/A,"KSh 7,999",0%,0,0
N/A,"KSh 6,599",0%,0,0
N/A,KSh 890,0%,0,0
N/A,KSh 574,0%,0,0
N/A,KSh 673,0%,0,0
N/A,"KSh 20,200",0%,0,0
N/A,KSh 299,0%,0,0
N/A,"KSh 4,700",0%,0,0
